"Add/Hide shipping information","Add/Hide shipping information"
"Order Total","Order Total"
"Order Totals","Order Totals"
"Quote Totals","Quote Totals"
"Admin User Quote Is Assigned To","Admin User Quote Is Assigned To"
"ReQuote","ReQuote"
"Quote was duplicated successfully","Quote was duplicated successfully"
"Note, any discounts applied will be discarded","Note, any discounts applied will be discarded"
"Type here to add your comment to this Quote","Type here to add your comment to this Quote"
"New quote","New quote"
"Please, add comment or(and) attach files.","Please, add comment or(and) attach files."
"Quote was saved successfully","Quote was saved successfully"
"Quote #","Quote #"
"Negotiated Price","Negotiated Price"
"Comments and History","Comments and History"
"Comment","Comment"
"Grand Total","Grand Total"
"Action","Action"
"Remove","Remove"
"Please Select","Please Select"
"Quote Status","Quote Status"
"Quote Reminder Date","Quote Reminder Date"
"Shipping Information","Shipping Information"
"Quote Total Negotiated","Quote Total Negotiated"
"Decline","Decline"
"Row Subtotal","Row Subtotal"
"The negotiated price cannot be less than 0 or higher than catalog price.","The negotiated price cannot be less than 0 or higher than catalog price."
"Cart to Quote","Cart to Quote"
"Email Notifications","Email Notifications"
"Notification Email Sender","Notification Email Sender"
"CC Email Recipients","CC Email Recipients"
"Seller Quote Changes Template","Seller Quote Changes Template"
"Buyer Quote Changes Template","Buyer Quote Changes Template"
"Seller New Quote Template","Seller New Quote Template"
"Buyer New Quote Template","Buyer New Quote Template"
"Send Reminder in X Days Before Quote Expiration, days","Send Reminder in X Days Before Quote Expiration, days"
"Email Template for Quote Reminder","Email Template for Quote Reminder"
"Quote Admin Change Template","Quote Admin Change Template"
"File Attachments","File Attachments"
"Max Upload File Size (Mb)","Max Upload File Size (Mb)"
"Allow File Extensions","Allow File Extensions"
"This Quote has been updated for some reasons. All details are in the History Log.","This Quote has been updated for some reasons. All details are in the History Log."
"Proposed price cannot be less than 0 or higher than catalog price.","Proposed price cannot be less than 0 or higher than catalog price."
"Please choose Negotiated Price Type.","Please choose Negotiated Price Type."
"Add to Quote","Add to Quote"
"You added %1 to your <a href=""%2"">quote list</a>.","You added %1 to your <a href=""%2"">quote list</a>."
"%1 was updated in your quote list.","%1 was updated in your quote list."
"You have no items in your quote list.","You have no items in your quote list."
"Update Quote List","Update Quote List"
"Quote Summary","Quote Summary"
"Quote List","Quote List"
"Enable ""Add to Quote"" button and Quote List","Enable ""Add to Quote"" button and Quote List"
"Item(s) in quote","Item(s) in quote"
"SKU","SKU"
"Quote ""%1"" can't be edited at this store view.","Quote ""%1"" can't be edited at this store view."
"This quote doesn't exist.","This quote doesn't exist."
"Quote Subtotal","Quote Subtotal"
"Auto Acceptance of Quote","Auto Acceptance of Quote"
"You can't update a quote.","You can't update a quote."
"Accepted","Accepted"
"Thank you for your Quote. Unfortunately, we don\'t provide any discounts nowadays. You can buy this Quote at current catalog prices or decline it.","Thank you for your Quote. Unfortunately, we don\'t provide any discounts nowadays. You can buy this Quote at current catalog prices or decline it."
"All Quotes will have the status ""Accepted"". Discount negotiation will be disabled. Customers can only buy or decline their Quotes.","All Quotes will have the status ""Accepted"". Discount negotiation will be disabled. Customers can only buy or decline their Quotes."
"Order","Order"
"Acceptance Comment for Customer","Acceptance Comment for Customer"
"Quote ordered. Order #%1","Quote ordered. Order #%1"
"Order:","Order:"
"Edit Items Order","Edit Items Order"
"Save Items Order","Save Items Order"
"You can\'t change items order.","You can\'t change items order."
"Export to .doc","Export to .doc"
"This block will be displayed below products in .doc file of exported quote.","This block will be displayed below products in .doc file of exported quote."
"Extra Block in .doc of Exported Quote","Extra Block in .doc of Exported Quote"
"Please select a static block","Please select a static block"
